"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"DPT" 1.25976908963546e-301 -0.997782891281316 0.008 0.248 4.22337587300289e-297 "0" "DPT"
"SLPI" 1.30889834721706e-301 -1.37013081370943 0.023 0.301 4.38808170904518e-297 "0" "SLPI"
"APOD" 1.80903028037276e-300 -2.7977939574898 0.015 0.275 6.06477401494968e-296 "0" "APOD"
"CTSC" 2.56130328445822e-296 -1.07393483167097 0.06 0.389 8.58676926114619e-292 "0" "CTSC"
"EGR2" 3.89041470979356e-296 1.74548573023231 0.712 0.206 1.30426153145829e-291 "0" "EGR2"
"SRSF3" 5.30448612612235e-296 1.14256248898226 0.947 0.73 1.77832897378252e-291 "0" "SRSF3"
"NFKBIA" 1.51971161311897e-294 1.56005143970774 0.916 0.688 5.09483318298136e-290 "0" "NFKBIA"
"RPS3A" 1.54265608079572e-293 -0.828724939794053 0.976 0.989 5.17175451086766e-289 "0" "RPS3A"
"TPM4" 1.47580260210488e-292 -1.35860863165841 0.338 0.715 4.94762822355662e-288 "0" "TPM4"
"SSR4" 2.34123785304301e-292 -1.54590557555811 0.852 0.924 7.84899990232669e-288 "0" "SSR4"
"SRPX2" 3.48132274721952e-292 -0.829153746964722 0.03 0.314 1.16711345100534e-287 "0" "SRPX2"
"RPL41" 1.53181371403628e-291 -0.55518542771169 0.998 0.999 5.13540547630663e-287 "0" "RPL41"
"COL1A1" 4.75092065315566e-291 -1.4886219761674 0.109 0.475 1.59274614897044e-286 "0" "COL1A1"
"HEPACAM" 1.02738601546427e-289 1.36381953513095 0.777 0.249 3.44431161684395e-285 "0" "HEPACAM"
"RPL23A" 1.37693399312802e-288 -0.738777666197708 0.978 0.988 4.61617121196169e-284 "0" "RPL23A"
"SOX2" 1.66435662644151e-288 1.18315705501386 0.885 0.487 5.57975559014516e-284 "0" "SOX2"
"PTMS" 5.63255826036143e-288 -1.23197235935912 0.397 0.764 1.88831515678617e-283 "0" "PTMS"
"TPM2" 1.59907637101939e-287 -1.35602139937245 0.259 0.652 5.36090353384249e-283 "0" "TPM2"
"SERF2" 5.72995914517771e-287 -0.747145327986972 0.983 0.991 1.92096880342083e-282 "0" "SERF2"
"MGST1" 1.47151347612274e-286 1.13871450788627 0.959 0.67 4.93324892870148e-282 "0" "MGST1"
"ARC" 9.08380676213894e-286 1.67601612295005 0.72 0.211 3.04534621700708e-281 "0" "ARC"
"SLCO1C1" 9.18601038958979e-286 1.28485936189709 0.624 0.092 3.07960998310998e-281 "0" "SLCO1C1"
"FHL2" 1.89399508606935e-285 -0.815231135231065 0.023 0.291 6.3496185260475e-281 "0" "FHL2"
"CCNL1" 2.71932945080145e-283 1.27161963685772 0.848 0.446 9.11655198381186e-279 "0" "CCNL1"
"COL3A1" 3.61868531420902e-283 -1.19426084363546 0.019 0.274 1.21316425158858e-278 "0" "COL3A1"
"LRRC3B" 1.76933700087591e-282 1.27636390845071 0.553 0.036 5.93170229543649e-278 "0" "LRRC3B"
"RPL36" 9.51434195182193e-282 -0.709596189989739 0.978 0.989 3.1896831393483e-277 "0" "RPL36"
"CEBPD" 1.36534716392758e-279 1.39336062328386 0.902 0.563 4.57732636706722e-275 "0" "CEBPD"
"RPS13" 4.59161724381289e-276 -0.777274605756478 0.966 0.985 1.53933968098827e-271 "0" "RPS13"
"RPS15" 1.900516469085e-275 -0.640133795512193 0.99 0.998 6.37148146260747e-271 "0" "RPS15"
"RPL9" 1.22263501403521e-273 -0.79754891917466 0.949 0.977 4.09888388455305e-269 "0" "RPL9"
"EDNRB" 1.10793177872023e-270 1.16060403401786 0.541 0.03 3.71434128815959e-266 "0" "EDNRB"
"BBOX1" 4.19207061551668e-270 1.12804210934968 0.53 0.025 1.40539167385197e-265 "0" "BBOX1"
"TSHZ2" 4.19910594405951e-270 -0.99570460946633 0.057 0.364 1.40775026774595e-265 "0" "TSHZ2"
"RPS2" 3.16333932160914e-269 -0.797485029376351 0.983 0.985 1.06050950756946e-264 "0" "RPS2"
"TFF3" 5.47891838995571e-269 -2.56408037006645 0.398 0.714 1.83680739023265e-264 "0" "TFF3"
"PAMR1" 9.56200199391446e-269 1.07180610364171 0.588 0.073 3.20566116845982e-264 "0" "PAMR1"
"GABARAPL2" 3.09178269058922e-266 0.736103397783833 0.98 0.923 1.03652014702004e-261 "0" "GABARAPL2"
"SERPINA1" 3.31553387980758e-266 -1.50074734361348 0.005 0.21 1.11153273320549e-261 "0" "SERPINA1"
"STC1" 7.43139384370473e-266 -1.7162167851083 0.016 0.252 2.49137478610201e-261 "0" "STC1"
"TPH1" 1.32511257866747e-265 -2.15130115880292 0.022 0.272 4.44243991998268e-261 "0" "TPH1"
"LINC01088" 1.5067347502159e-265 1.16411287444014 0.633 0.122 5.05132825009879e-261 "0" "LINC01088"
"VCAN" 2.78197747625626e-265 -1.39029045025994 0.168 0.53 9.32657948914911e-261 "0" "VCAN"
"RPL15" 1.61559551345306e-263 -0.577738852619874 0.992 0.993 5.41628395885138e-259 "0" "RPL15"
"SVIL" 3.33533266541531e-262 -0.988657654944875 0.094 0.427 1.11817027608048e-257 "0" "SVIL"
"RPL36AL" 4.74655028577106e-262 -0.884213589034687 0.887 0.97 1.59128098330475e-257 "0" "RPL36AL"
"ACSBG1" 9.07178865482012e-261 1.0824368582484 0.502 0.012 3.04131714652845e-256 "0" "ACSBG1"
"FGF1" 1.51888870925404e-260 1.12469793059048 0.73 0.252 5.09207439777416e-256 "0" "FGF1"
"BGN" 1.31014846915018e-259 -1.04074164786437 0.093 0.423 4.39227274282599e-255 "0" "BGN"
"RPL24" 8.69988140781329e-259 -0.747041802219683 0.942 0.981 2.9166352419694e-254 "0" "RPL24"
"GJA1" 1.58754743807458e-258 1.19107364350329 0.625 0.123 5.32225278614503e-254 "0" "GJA1"
"THBS4" 2.94348409939661e-258 -1.75608497290064 0.186 0.536 9.86803044322715e-254 "0" "THBS4"
"PHGDH" 1.22782775528977e-257 1.17323174699595 0.732 0.233 4.11629254960894e-253 "0" "PHGDH"
"EEF1A1" 1.36258756544379e-257 -0.767901094169654 0.992 0.988 4.5680748131503e-253 "0" "EEF1A1"
"ALDOC" 4.47824758253303e-257 1.26203862401558 0.723 0.275 1.5013325020442e-252 "0" "ALDOC"
"RPS15A" 4.85790367291239e-256 -0.848161881094028 0.968 0.98 1.62861220634388e-251 "0" "RPS15A"
"TMEM45A" 3.22905996998151e-255 -0.84026697007833 0.078 0.394 1.0825423549363e-250 "0" "TMEM45A"
"PPP1R15A" 3.6043268171993e-255 1.05083549010956 0.929 0.756 1.20835056546607e-250 "0" "PPP1R15A"
"LGALS1" 1.36485714825705e-253 -1.0884407295688 0.953 0.974 4.57568358953176e-249 "0" "LGALS1"
"SLC39A12" 5.41853315372661e-253 1.20546336080579 0.619 0.122 1.81656323978685e-248 "0" "SLC39A12"
"MT1M" 1.64178626807089e-252 1.32179209451443 0.565 0.076 5.50408846370766e-248 "0" "MT1M"
"CALM1" 1.48940711659235e-251 0.73419457395621 0.983 0.896 4.99323735837586e-247 "0" "CALM1"
